,AWARD TITLE,PROPOSAL NO,PROPOSAL TYPE,PRIME ACCOUNT,AWARD NO,AWARD AMOUNT,AWARD PROJECT PI PID,AWARD PROJECT PI,AWARD PI,SPONSOR,SPONSOR TYPE,SPONSOR CODE,ARRA FUNDING,OTHER PERSONNEL,AWARD ADMIN DEPT NO,AWARD ADMIN DEPT,AWARD ADMIN SCHOOL,AWARD PROJECT PI DEPT NO,AWARD PROJECT PI DEPT,AWARD PI HOME DEPT NO,AWARD PI HOME DEPT,AWARD PI HOME SCHOOL,OFFICIAL REPORT DATE,REPORT MONTH,FISCAL YEAR,PROJECT BEGIN DATE,PROJECT END DATE,AWARD MECHANISM,AWARD TYPE,CHESS CODE,PRIME SPONSOR CODE,PRIME SPONSOR,PAYMENT BASIS,PAYMENT METHOD,INVOICE FREQUENCY,Determined Dept,Determined College,SPONSOR AWARD NO,F&A ACTIVITY TYPE,CFDA NO,FINAL REPORT DUE DATE,PROGRAM DESIGNATION,AWARD NOTICE RECEIVED,PASS THRU AGENCY
932,The essential dynamics of tropical rain belts: Monsoons and ITCZ in a multi-model ensemble of idealized simulations,17-0871,New,530610,A18-0079-001,77233,801033319,"Scheff, Jacob","Scheff, Jacob",Columbia University,Educational and Research Institutions,11844,No,,['recJCGE2aYBybnDS9'],Geography and Earth Sciences,College of Liberal Arts and Sciences,18100,Geography and Earth Sciences,18100,Geography and Earth Sciences,College of Liberal Arts and Sciences,9/14/2017,9,2018,2017-07-01,2020-10-31,New,(20 - 25) Contract,01 - Research & Development (R&D),5738,National Science Foundation (NSF),,,,Geography and Earth Sciences,CLAS,1(GG012596),OR - Organized Research (110),47.05,,,,
1862,REU Site: Making Future Communities: Infrastructure and Interaction Design for Cyber-Physical Systems,18-0126,New,530670,A18-0179-001,323997,800211733,"Wilson, David","Wilson, David",National Science Foundation (NSF),Federal,5738,No,"Rorrer, Audrey; Lipford, Heather;",['recm9Y4qUnFK0GBja'],Software and Information Systems,College of Computing and Informatics,23300,Software and Information Systems,23300,Software and Information Systems,College of Computing and Informatics,2/28/2018,2,2018,2018-02-01,2021-01-31,New,(10 - 15) Grant,01 - Research & Development (R&D),,,,,,SIS,CCI,1757884,OR - Organized Research (110),47.07,,,,
2356,Crossing Borders: Making Connections,14-0460,New,530182,A15-0043-003,348176,800931591,"Evans, Dena","Evans, Dena",Health Resources and Services Administration (HRSA),Federal,5323,No,"Toth, Cynthia; Baldwin, Defloris; Portwood, Sharon;",['recyyhpxKR1OTxmf4'],School of Nursing,College of Health and Human Services,22400,School of Nursing,22400,School of Nursing,College of Health and Human Services,6/2/2016,6,2016,2014-07-01,2018-05-31,,(10 - 15) Grant,02 - Instruction,,,,,,School of Nursing,CHHS,D19HP26968,RT - Research Training (110),93.178,,,,
2137,2016-17 Charlotte-Mecklenburg Annual Survey: Library,17-0469,New,560442,A17-0148-001,1000,800699122,"Gavarkavich, Diane","Gavarkavich, Diane",Charlotte-Mecklenburg County Public Library,Local Government,14933,No,,['recimIrxMBCwOgyI1'],Urban Institute,Metropolitan Studies,26400,Urban Institute,26400,Urban Institute,Metropolitan Studies,1/24/2017,1,2017,2016-12-01,2017-04-30,New,(20 - 25) Contract,03 - Public Service,,,,,,Urban Institute,Academic Affairs,Letter Dated 01/04/2017,PS - Public Service (401),0,,,,
3597,Microbial Endocrinology as a Mechanism Governing Stress-Induced Microbiome-Gut-Brain Communication,15-0782,New,530351,A16-0120-002,17488,800371248,"Fodor, Anthony","Fodor, Anthony",Iowa State University,Educational and Research Institutions,12035,No,"Gharaibeh, Ra'ad",['rec5Sk9WD9a1s4mCr'],Bioinformatics and Genomics,College of Computing and Informatics,23280,Bioinformatics Research Center,23280,Bioinformatics Research Center,College of Computing and Informatics,6/28/2016,6,2016,2015-09-01,2018-09-30,,(10 - 15) Grant,01 - Research & Development (R&D),5614,DOD DN Office of Naval Research (ONR),,,,BIG,CCI,421-23-03A MOD1,OR - Organized Research (110),12.3,,,,
211,2016-2017 NCSIP IHE Partnership,17-0359,New,530508,A17-0139-001,10000,800876633,"Beach, Kristen","Beach, Kristen",North Carolina State Board of Education,State Government (NC),22245,No,,['recTEEQhVGGL85SyK'],Special Education and Child Development,College of Education,21000,Special Education and Child Development,21000,Special Education and Child Development,College of Education,12/2/2016,12,2017,2016-10-01,2017-09-30,New,(20 - 25) Contract,06 - Other,5500,US Department of Education (DOED),,,,Special Ed & Child Dev,Education,NC10314356,OS - Other Sponsored Activities (401),84.323,,,,
1645,Town of Davidson Housing Needs Assessment,16-0822,New,550222,A17-0053-001,27000,800840883,"Clark, Ashley","Clark, Ashley",Town of Davidson,Local Government,18112,No,"Simmons, Laura; McCoy, William; Szczepaniak, Zachary;",['recimIrxMBCwOgyI1'],Urban Institute,Metropolitan Studies,26400,Urban Institute,26400,Urban Institute,Metropolitan Studies,8/31/2016,8,2017,2016-08-01,2017-03-31,New,(20 - 25) Contract,03 - Public Service,,,,,,Urban Institute,Academic Affairs,Award Signed 07-05-2016,PS - Public Service (401),0,,,,
3457,Microalgae Building Enclosures for Bio-Energy and Carbon Sink,19-0815,New,530846,A20-0008-001,50000,800716600,"Kim, Kyoung-hee","Kim, Kyoung-hee",National Science Foundation (NSF),Federal,5738,No,"Wu, Chengde; Lu, Fan;",['recDKQRgkLlstLLtB'],School of Architecture,College of Arts and Architecture,15200,School of Architecture,15200,School of Architecture,College of Arts and Architecture,6/4/2019,6,2019,2019-06-15,2019-11-30,New,(10 - 15) Grant,06 - Other,,,,,,School of Architecture,Arts/Arch,1935393,OS - Other Sponsored Activities (401),47.041,,,,
2995,Hybrid Si and SiC based battery inverter,19-0428,,530917,A20-0086-001,225420,800980038,"Zhao, Tiefu","Zhao, Tiefu",North Carolina State University (NCSU),Educational and Research Institutions,12924,No,,['rechx0G6DDzq9e11j'],Energy Production and Infrastructure Center,College of Engineering,,,21900,Electrical and Computer Engineering,College of Engineering,9/16/2019,9,2020,2019-07-01,2020-06-30,New,(20 - 25) Contract,01 - Research & Development (R&D),5453,Department of Energy (DOE),,,,EPIC,ENG,2014-0654-73,OR - Organized Research (110),81.086,,,,
2074,A Multitude of Voices: The Danger of a Single Story The Memorial Library/Olga Lengyel Institute Summer Satellite Holocaust Teacher Education,16-0684,New,560458,A17-0182-002,3524,800210919,"Wertz-orbaugh, Tonya","Wertz-orbaugh, Tonya",Olga Lengyel Institute Memorial Library,Educational and Research Institutions,27211,No,,['rec20fwAViRGFIwjK'],University Writing Programs,College of Liberal Arts and Sciences,18050,University Writing Programs,18050,University Writing Programs,College of Liberal Arts and Sciences,8/14/2017,8,2018,2017-02-08,2018-06-30,Supplement,(20 - 25) Contract,02 - Instruction,,,,,,University Writing Programs,CLAS,Letter Dated 08/14/2017,SI - Sponsored Instruction (101),0,,,,
921,National Science Foundation Graduate Research Fellowship Program,14-0739,New,530187,A14-0265-006,138000,800213000,"Reynolds, Thomas","Reynolds, Thomas",National Science Foundation (NSF),Federal,5738,No,,['recl7j772jnxnV9jg'],Graduate School,Graduate School,23900,Graduate School,23900,Graduate School,Graduate School,7/1/2016,7,2017,2014-04-15,2019-03-31,Supplement,(10 - 15) Grant,04 - Student Support,,,,,,Graduate School,Graduate School,1439650 MOD6,FE - Scholarships/Fellowships (230),47.076,,,,
3194,Natural Resources and Armed Conflict,13-0358,New,501961,A13-0203-008,36731,800002470,"Walsh, James","Walsh, James",Department of Defense (DOD),Federal,5522,No,"Whitaker, Beth; Conrad, Justin;",['recr1nGVxrf8kx1R9'],Political Science and Public Administration (Dpt),College of Liberal Arts and Sciences,19000,Political Science and Public Administration,19000,Political Science and Public Administration (Dpt),College of Liberal Arts and Sciences,1/28/2016,1,2016,2013-08-15,2018-05-30,Supplement,(10 - 15) Grant,06 - Other,,,,,,Political Science & Public Admin,CLAS,W911NF-13-1-0332 MOD 9,OR - Organized Research (110),12.431,,,,
1932,Development of Pavement Performance Models using New Breakpoints and Pretreatment Conditions,19-0805,New,530863,A20-0035-001,323960,800676170,"Chen, Dong","Chen, Dong",North Carolina Department of Transportation (NCDOT),State Government (NC),17457,No,"Nicholas, Thomas",['rec4TpIktgPEmUkKK'],Engineering Technology and Construction Management,College of Engineering,21800,Engineering Technology and Construction Management,21800,Engineering Technology and Construction Management,College of Engineering,7/26/2019,7,2020,2019-08-01,2021-07-31,New,(20 - 25) Contract,01 - Research & Development (R&D),5375,US Department of Transportation (DOT),,,,Engineering Tech & Constr Mgmt,ENG,RP 2020-14,OR - Organized Research (110),20.205,,,,
56,Development and Operation of the Web GIS-enabled Data Management System for the Santee Experimental Forest,19-0078,Supplement,530682,A18-0211-002,8800,800724825,"Tang, Wenwu","Tang, Wenwu",USDA Forest Service Southern Research Station,Federal,5708,No,,['recJCGE2aYBybnDS9'],Geography and Earth Sciences,College of Liberal Arts and Sciences,18100,Geography and Earth Sciences,18100,Geography and Earth Sciences,College of Liberal Arts and Sciences,10/8/2018,10,2019,2018-01-29,2018-12-31,Supplement,(20 - 25) Contract,01 - Research & Development (R&D),,,,,,Geography and Earth Sciences,CLAS,12456818C0005 (MOD1),OR - Organized Research (110),10,,,,
1892,Risk Factors for Microscopic Colitis,15-0571,New,530385,A16-0166-004,39830,800371248,"Fodor, Anthony","Fodor, Anthony",University of North Carolina at Chapel Hill (UNC-CH),Educational and Research Institutions,12976,No,"Winglee, Kathryn",['reccq9hibdY0kGBaj'],Bioinformatics Research Center,College of Computing and Informatics,23280,Bioinformatics Research Center,23270,Bioinformatics and Genomics,College of Computing and Informatics,11/15/2017,11,2018,2015-12-01,2019-11-30,,(20 - 25) Contract,01 - Research & Development (R&D),5332,National Institutes of Health (NIH),,,,Bioinformatics Research Center,CCI,5103010,OR - Organized Research (110),93.847,,,,
1875,Public Service Fellowship Arts and Science Council,16-0673,Supplement,550151,A16-0235-001,11042,800211683,"Leland, Suzanne","Leland, Suzanne",City of Charlotte Arts and Science Council,Local Government,14970,No,,['recr1nGVxrf8kx1R9'],Political Science and Public Administration,College of Liberal Arts and Sciences,19000,Political Science and Public Administration,19000,Political Science and Public Administration,College of Liberal Arts and Sciences,5/16/2016,5,2016,2016-05-16,2016-12-31,Supplement,(20 - 25) Contract,04 - Student Support,,,,,,Political Science & Public Admin,CLAS,Letter Dated 05/16/2016,FE - Scholarships/Fellowships (230),0,,,,
479,Middle School Biotechnology Camp,15-0535,New,560202,A15-0203-001,5000,800213254,"Raja, Shagufta","Raja, Shagufta",Triangle Community Foundation,Foundation,14675,No,"Hatcher, Lorena",['recZyAPX0CicJHhWB'],Center for STEM Education,College of Education,20800,Center for STEM Education,20800,Center for STEM Education,College of Education,3/13/2015,3,2015,2015-03-06,2016-03-31,New,(10 - 15) Grant,06 - Other,,,,,,Ctr For STEM Education,Education,Check dated 3/6/15,OS - Other Sponsored Activities (401),0,,,,
2506,Improved Data for Mechanistic-Empirical Pavement Design for Concrete Pavements,14-0148,New,530174,A15-0028-002,6000,800431195,"Cavalline, Tara","Cavalline, Tara",North Carolina Department of Transportation (NCDOT),State Government (NC),17457,No,"Tempest, Brett",['rec4TpIktgPEmUkKK'],Engineering Technology and Construction Management,College of Engineering,21800,Engineering Technology and Construction Management,21800,Engineering Technology and Construction Management,College of Engineering,4/16/2015,4,2015,2014-08-16,2017-06-30,Supplement,Incoming_Sub,01 - Research & Development (R&D),17771,Federal Highway Administration (FHWA),,,,Engineering Tech & Constr Mgmt,ENG,RP 2015-03 - Rev 1,OR - Organized Research (110),20.205,,,,
3594,High-Performance Treatment of PFAS from Investigation-derived Waste: Integrating Advanced Oxidation-Reduction and Membrane Concentration,18-0219,New,530718,A18-0262-001,66662,800930643,"Sun, Mei","Sun, Mei",University of California at Riverside (UCR),Educational and Research Institutions,12479,No,,['recuZZ7yEPgD0RdZe'],Civil and Environmental Engineering,College of Engineering,22200,Civil and Environmental Engineering,22200,Civil and Environmental Engineering,College of Engineering,7/20/2018,7,2019,2018-05-10,2020-05-10,New,(20 - 25) Contract,01 - Research & Development (R&D),6209,DOD Strategic Environmental Research and Development Program (SERDP),,,,Civil and Environmental Engr,ENG,S-001000,OR - Organized Research (110),12,,,,
2973,Natural Resources and Armed Conflict,13-0358,New,501961,A13-0203-007,122980,800002470,"Walsh, James","Walsh, James",Department of Defense (DOD),Federal,5522,No,"Whitaker, Beth; Conrad, Justin;",['recr1nGVxrf8kx1R9'],Political Science and Public Administration (Dpt),College of Liberal Arts and Sciences,19000,Political Science and Public Administration,19000,Political Science and Public Administration (Dpt),College of Liberal Arts and Sciences,9/1/2015,9,2016,2013-08-15,2018-05-30,Supplement,(10 - 15) Grant,06 - Other,,,,,,Political Science & Public Admin,CLAS,W911NF-13-1-0332 MOD 7,OR - Organized Research (110),12.431,,,,
1680,National Technical Assistance Center on Increasing Graduation and Improving Transition to Postsecondary Education and Careers for students with Disabilities,15-0079,New,530213,A15-0089-003,2500000,800008039,"Fowler, Catherine","Test, David",US Department of Education (DOED),Federal,5500,No,"Fowler, Catherine",['recTEEQhVGGL85SyK'],Special Education and Child Development,College of Education,21000,Special Education and Child Development,21000,Special Education and Child Development,College of Education,9/7/2016,9,2017,2015-01-01,2020-09-30,,(10 - 15) Grant,03 - Public Service,,,,,,Special Ed & Child Dev,Education,H326E140004 MODs 3&4,OR - Organized Research (110),84.326,,,,
3030,Dissemination and implementation of a virtual care model for Parkinson disease and other chronic conditions.,17-0074,New,560535,A17-0262-002,25000,800930892,"Dulin, Michael","Dulin, Michael",University of Rochester,Educational and Research Institutions,12636,No,,['recKKiRk2HTgpu4cE'],Deans Office College of Health and Human Services,College of Health and Human Services,22900,Public Health Sciences,22300,Deans Office College of Health and Human Services,College of Health and Human Services,5/1/2018,5,2018,2017-05-01,2019-04-30,,(10 - 15) Grant,01 - Research & Development (R&D),19629,Patient-Centered Outcomes Research Institute (PCORI),,,,College of Health & Human Svc,CHHS,417111,,0,,,,
671,PAVE SE Raleigh Charter School TIMS Computerized Bus Routing Project 2017-18,18-0053,New,560507,A18-0060-001,4050,800011151,"Pressley, Joanne","Pressley, Joanne",PAVE Southeast Raleigh Charter School,Nonprofit Organization,29914,No,,['recimIrxMBCwOgyI1'],Urban Institute,Metropolitan Studies,26400,Urban Institute,26400,Urban Institute,Metropolitan Studies,8/1/2017,8,2018,2017-08-01,2018-07-31,New,(20 - 25) Contract,03 - Public Service,,,,,,Urban Institute,Academic Affairs,Letter Dated 07/20/2017,PS - Public Service (401),0,,,,
1542,Story-Call: E-mobile Support for Community Caregivers of Veterans with Dementia,14-0367,New,530359,A14-0284-004,12862,800212033,"Davis, Boyd","Davis, Boyd",Ralph H. Johnson Veterans Affairs Medical Center,Federal,5373,No,"Shenk, Dena; Shehab, Mohamed;",['recm7niD3ADHy0MWJ'],English,College of Liberal Arts and Sciences,18000,English,18000,English,College of Liberal Arts and Sciences,11/2/2015,11,2016,2014-10-01,2017-10-31,New,(20 - 25) Contract,01 - Research & Development (R&D),,,,,,English,CLAS,PO D65008 Shehab,OS - Other Sponsored Activities (401),0,,,,
4182,CIS GAANN Fellows, 19-0126,,530773,A19-0086-002,250405,800213321,"Shin, Min","Shin, Min",US Department of Education (DOED),Federal,5500,No,,['recyLjbc94uVNYe4R'],Computer Science,College of Computing and Informatics,,,23200,Computer Science,College of Computing and Informatics,8/31/2019,8,2020,2018-10-01,2020-09-30,,(10 - 15) Grant,06 - Other,,,,,,CS,CCI,P200A180040-19,OR - Organized Research (110),84.2,,,,
2879,Industrial membership fees for the NSF IUCRC Award - SIBS Industry Funds,13-0378,New,540206,A12-0238-011,50000,800405486,"Cox, Robert","Cox, Robert",All Other Business and Industry,Business and Industry,6010,No,,['recQslbuFZUwdV4PG'],"Infrastructure, Design, Environment, and Sustainability (IDEAS) Center",College of Engineering,22150,Energy Production and Infrastructure Center,21900,Elec and Computer Engineering (Dpt),College of Engineering,5/26/2016,5,2016,2012-07-01,2018-12-31,Supplement,(20 - 25) Contract,01 - Research & Development (R&D),,,,,,Energy & Enviro Assistance Office,ENG,BOA Yr 4,OR - Organized Research (110),0,,,,
1024,VASA: Visual Analytics for Security Analysis,16-0273,Supplement,501893,A13-0090-003,50004,800211148,"Ribarsky, Martin","Ribarsky, Martin",Purdue University,Educational and Research Institutions,12281,No,"Cho, Isaac",['recyLjbc94uVNYe4R'],Computer Science,College of Computing and Informatics,23200,Computer Science,23200,Computer Science,College of Computing and Informatics,11/12/2015,11,2016,2012-07-01,2017-06-30,Supplement,(20 - 25) Contract,01 - Research & Development (R&D),5446,Department of Homeland Security (DHS),,,,CS,CCI,4112-51774 - Amend 7,OR - Organized Research (110),0,,,,
1736,Development of a Compact Ionic Polymer Transducing Wall Shear Stress Sensor for High Resolution Measurements in Unsteady Flows,18-0885,New,530756,A19-0077-001,20000,801041973,"Hewlin, Rodward","Hewlin, Rodward",North Carolina Space Grant Consortium (NC Space Grant),Educational and Research Institutions,12923,No,,['rec4TpIktgPEmUkKK'],Engineering Technology and Construction Management,College of Engineering,21800,Engineering Technology and Construction Management,21800,Engineering Technology and Construction Management,College of Engineering,9/18/2018,9,2019,2018-09-15,2019-04-15,New,(20 - 25) Contract,01 - Research & Development (R&D),5782,NASA National Space Grant College and Fellowship Program,,,,Engineering Tech & Constr Mgmt,ENG,2015-1942-CT-18,OR - Organized Research (110),43.008,,,,
3514,Characteristics and Evolution of Observed and Simulated Supercell Thunderstorms in the Central and Southern Appalachians,19-0416,New,530858,A19-0246-001,281948,800881746,"Davenport, Casey","Davenport, Casey",DOC National Oceanic and Atmospheric Administration (NOAA),Federal,5635,No,"Eastin, Matthew",['recJCGE2aYBybnDS9'],Geography and Earth Sciences,College of Liberal Arts and Sciences,18100,Geography and Earth Sciences,18100,Geography and Earth Sciences,College of Liberal Arts and Sciences,7/3/2019,7,2020,2019-06-01,2021-05-31,New,(10 - 15) Grant,01 - Research & Development (R&D),,,,,,Geography and Earth Sciences,CLAS,NA19NWS4680003,OR - Organized Research (110),11.468,,,,
3206,"2018-2019 NC Coaching, Mentoring, Performance Evaluation and Professional Development for Birth through Kindergarten Licensed Teachers Employed in Nonpublic School Classrooms",18-0616,New,520288,A19-0031-001,1732971,800202033,"Lambert, Richard","Lambert, Richard",North Carolina Department of Health and Human Services (NCDHHS),State Government (NC),17393,No,"Vestal, Amanda",['recIuBYGXbo48Tq9j'],Educational Leadership,College of Education,20900,Educational Leadership,20900,Educational Leadership,College of Education,6/8/2018,6,2018,2018-07-01,2019-06-30,New,(20 - 25) Contract,06 - Other,,,,,,Educational Leadership,Education,36947,OS - Other Sponsored Activities (401),93.575,,,,
628,Signal Processing for a 3-D Profilometer,17-0114,New,560399,A17-0062-001,8404,800212958,"Davies, Angela","Davies, Angela",Optoniks,Business and Industry,24742,No,,['recIFxtNxm1RKXI2Z'],Physics and Optical Science,College of Liberal Arts and Sciences,18800,Physics and Optical Science,18800,Physics and Optical Science,College of Liberal Arts and Sciences,9/2/2016,9,2017,2016-08-21,2016-11-28,New,(20 - 25) Contract,06 - Other,,,,,,Physics and Optical Science,CLAS,Letter Dated 09/02/2016,OS - Other Sponsored Activities (401),0,,,,
912,"Materials Characterization Laboratory Services - Master Agreement with Momentive UV Coatings (Shanghai) Co., Ltd.",15-0901,New,560272,A15-0310-001,330,800007279,"Weaver, Katherine","Weaver, Katherine","Momentive UV Coatings Shanghai Co., Ltd.",Business and Industry,25370,No,,['rechx0G6DDzq9e11j'],Energy Production and Infrastructure Center,College of Engineering,22150,Energy Production and Infrastructure Center,22000,Mechanical Engineering and Engineering Science,College of Engineering,8/11/2015,8,2016,2015-06-22,2016-12-07,New,(20 - 25) Contract,06 - Other,,,,,,EPIC,ENG,Task Order 001,OS - Other Sponsored Activities (401),0,,,,
1135,"Guidelines for Prioritization of Bridge Replacement, Rehabilitation, and Preservation Projects",15-0325,New,530295,A16-0021-001,181802,800720938,"Whelan, Matthew","Whelan, Matthew",North Carolina Department of Transportation (NCDOT),State Government (NC),17457,No,"Cavalline, Tara",['rechx0G6DDzq9e11j'],Energy Production and Infrastructure Center,College of Engineering,22200,Civil and Environmental Engineering,22200,Civil and Environmental Engineering,College of Engineering,6/5/2015,6,2015,2015-08-01,2018-07-31,New,(20 - 25) Contract,01 - Research & Development (R&D),17771,Federal Highway Administration (FHWA),,,,EPIC,ENG,RP2016-05,PS - Public Service (401),20.205,,,,
1866,University of North Carolina at Charlotte PhD Program 2014,14-0476,New,530186,A15-0052-003,2,800876633,"Beach, Kristen","Browder-boswell, Diane",US Department of Education (DOED),Federal,5500,No,,['recTEEQhVGGL85SyK'],Special Ed & Child Dev (Dpt),College of Education,21000,Special Education and Child Development,21000,Special Education and Child Development,College of Education,6/30/2016,6,2016,2014-08-01,2020-07-31,Non-competing Continuation/Progress Report,(10 - 15) Grant,06 - Other,,,,,,Special Ed & Child Dev,Education,H32D140004 MOD2,RT - Research Training (110),84.325,,,,
2023,Industrial membership fees for the NSF IUCRC Award - SIBS Industry Funds,13-0378,New,540206,A12-0238-015,50000,800405486,"Cox, Robert","Cox, Robert",All Other Business and Industry,Business and Industry,6010,No,,['recQslbuFZUwdV4PG'],"Infrastructure, Design, Environment, and Sustainability (IDEAS) Center",College of Engineering,22150,Energy Production and Infrastructure Center,21900,Elec and Computer Engineering (Dpt),College of Engineering,2/23/2017,2,2017,2012-07-01,2018-12-31,Supplement,(20 - 25) Contract,01 - Research & Development (R&D),,,,,,Energy & Enviro Assistance Office,ENG,IRC Yr 5,OR - Organized Research (110),0,,,,
2441,Improving Student Mental Health and Enhancing Academic Success Through Interdisciplinary Collaboration: A Collective Impact on Autism Spectrum Disorder,18-0654,New,520286,A18-0185-001,29990,800931591,"Evans, Dena","Evans, Dena",University of North Carolina General Administration (UNC GA),Educational and Research Institutions,13054,No,"MacNair-Semands, Rebecca",['recyyhpxKR1OTxmf4'],School of Nursing,College of Health and Human Services,22400,School of Nursing,22400,School of Nursing,College of Health and Human Services,3/12/2018,3,2018,2018-02-01,2020-03-31,New,(20 - 25) Contract,03 - Public Service,,,,,,School of Nursing,CHHS,19170-65016-102000-UNCC-1,PS - Public Service (401),0,,,,
2501,Optimization of BioProcessing for Dry Preservation of GVs,17-0297,,530641,A18-0145-003,75500,800211836,"Elliott, Gloria","Elliott, Gloria",Smithsonian Institution (SI),Federal,5827,No,,['recr5XMwntc2PfxCf'],Mechanical Engineering and Engineering Science,College of Engineering,,,22000,Mechanical Engineering and Engineering Science,College of Engineering,9/10/2019,9,2020,2017-07-01,2020-06-30,New,(20 - 25) Contract,01 - Research & Development (R&D),5332,National Institutes of Health (NIH),,,,Mech Engineering & Engineering Sci,ENG,18-SUBC-440-0000392244 (MOD2),OR - Organized Research (110),93.351,,,,
1819,Advancing Dimensional Metrology for Intelligent Manufacturing withThe Center for Precision Metrology,12-0668,New,501880,A13-0073-002,10000,800385922,"Evans, Christopher","Evans, Christopher",DOC National Institute of Standards and Technology (NIST),Federal,5666,No,"Miller, Jimmie",['recr5XMwntc2PfxCf'],Mechanical Engineering (Dpt),College of Engineering,22000,Mechanical Engineering and Engineering Science,22000,Mechanical Engineering and Engineering Science,College of Engineering,8/11/2014,8,2015,2012-10-01,2017-09-30,Supplement,Other - Choose,01 - Research & Development (R&D),,,,,,Mech Engineering & Engineering Sci,ENG,70NANB12H245 - MOD1,OR - Organized Research (110),11.069,,,,
3644,Keeping Watch- City of Creeks,15-0050,New,560148,A15-0109-001,10000,800004990,"Cammaroto, Crista","Cammaroto, Crista",Charlotte Mecklenburg Community Foundation,Foundation,14481,No,,['recXsYJu9iCK8ZTNM'],Deans Office College of Arts and Architecture,College of Arts and Architecture,17800,Art and Art History,15210,Deans Office College of Arts and Architecture,College of Arts and Architecture,10/20/2014,10,2015,2014-06-06,2015-06-05,New,(20 - 25) Contract,06 - Other,14522,Foundation For The Carolinas (FFTC),,,,Col of Arts & Architecture,Arts/Arch,Letter dated 6/6/14,OS - Other Sponsored Activities (401),0,,,,
3916,A Systematic Process for Vulnerability Assessment of Biometric Systems at Borders,16-0177,New,530473,A16-0281-001,25768,800883741,"Cukic, Bojan","Cukic, Bojan",University of Houston,Educational and Research Institutions,12531,No,"Shehab, Mohamed",['recyLjbc94uVNYe4R'],Computer Science,College of Computing and Informatics,23000,Deans Office College of Computing and Informatics,23200,Computer Science,College of Computing and Informatics,9/29/2016,9,2017,2016-08-01,2018-06-30,New,(20 - 25) Contract,01 - Research & Development (R&D),5446,Department of Homeland Security (DHS),,,,CS,CCI,R-16-0014,OR - Organized Research (110),97.061,,,,
1497,CAREER: Machine and Structure Oblivious Graph Analytics,17-0031,New,530540,A18-0003-001,281305,800821199,"Saule, Erik","Saule, Erik",NSF Computer and Information Science and Engineering (CISE),Federal,5745,No,,['recyLjbc94uVNYe4R'],Computer Science,College of Computing and Informatics,23200,Computer Science,23200,Computer Science,College of Computing and Informatics,4/18/2017,4,2017,2017-04-15,2022-03-31,New,(10 - 15) Grant,01 - Research & Development (R&D),,,,,,CS,CCI,1652442,OR - Organized Research (110),47.07,,,,
376,Mecklenburg Housing Reports Project 2016,17-0052,New,550206,A16-0189-002,4050,800840883,"Clark, Ashley","Clark, Ashley",Mecklenburg County Community Support Services,Local Government,22079,No,,['recimIrxMBCwOgyI1'],Urban Institute,Metropolitan Studies,26400,Urban Institute,26400,Urban Institute,Metropolitan Studies,9/29/2016,9,2017,2016-01-01,2016-12-31,Supplement,(20 - 25) Contract,03 - Public Service,,,,,,Urban Institute,Academic Affairs,28672058.01,PS - Public Service (401),0,,,,
2159,Collaborative Research: IUCRC Center for Configuration Analytics and Automation,18-0777,Supplement,501941,A13-0169-008,9400,800682124,"Al-shaer, Ehab","Al-shaer, Ehab",National Science Foundation (NSF),Federal,5738,No,"Chu, Bei-Tseng",['recm9Y4qUnFK0GBja'],Software and Information Systems,College of Computing and Informatics,23300,Software and Information Systems,23300,Software and Information Systems,College of Computing and Informatics,7/12/2018,7,2019,2013-06-01,2019-05-31,Supplement,(10 - 15) Grant,01 - Research & Development (R&D),,,,,,SIS,CCI,1266360 MOD7,OR - Organized Research (110),47.04,,,,
2677,Evaluation of the Implementation of the K-3 Formative Assessments,19-0944,,520251,A14-0228-006,186218,800202033,"Lambert, Richard","Lambert, Richard",North Carolina Department of Public Instruction (NCDPI),State Government (NC),17444,No,,['recIuBYGXbo48Tq9j'],Educational Leadership,College of Education,,,20900,Educational Leadership,College of Education,11/12/2019,11,2020,2014-02-14,2020-06-30,Supplement,(20 - 25) Contract,06 - Other,,,,,,Educational Leadership,Education,NC10119171,OR - Organized Research (110),0,,,,
318,SBIR: Innovative Deflectometry Measurement Techniques,15-0440,New,530278,A15-0270-001,26000,800212958,"Davies, Angela","Davies, Angela",SURVICE Engineering Company,Business and Industry,23926,No,"Evans, Christopher",['recIFxtNxm1RKXI2Z'],Physics and Optical Science,College of Liberal Arts and Sciences,18800,Physics and Optical Science,18800,Physics and Optical Science,College of Liberal Arts and Sciences,6/8/2015,6,2015,2015-06-02,2017-05-18,New,(20 - 25) Contract,01 - Research & Development (R&D),5771,National Aeronautics and Space Administration (NASA),,,,Physics and Optical Science,CLAS,Letter Dated 6/2/15,OR - Organized Research (110),0,7/3/2017,,,
1777,2016-2017 Programmatic Initiatives Support,16-0710,New,560403,A17-0060-001,12000,800682805,"Lewis, Chance","Lewis, Chance",TresSports Interagency Collaborative (TIC),Nonprofit Organization,24508,No,,['recZ1ZVxThREDMLBj'],"Middle, Secondary and K-12 Education",College of Education,21200,"Middle, Secondary and K-12 Education",21200,"Middle, Secondary and K-12 Education",College of Education,8/19/2016,8,2017,2016-07-01,2017-06-30,New,(20 - 25) Contract,06 - Other,,,,,,Middle Grades Secondary & K-12,Education,2975-2016-0710,PS - Public Service (401),0,,,,
